beer,producer,style,source,test_type,test_result,testing_source,testing_notes,test_date
Åbro Original,AB Åbro Brewery,Lager,,R5 competitive ELISA,Negative at 10ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,ep (not detected) = <10mg/L. ABV 3.5%,2009-01-01
18:56,AB Åbro Brewery,Lager,,R5 competitive ELISA,Negative at 10ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,ep (not detected) = <10mg/L. ABV 3.5%,2009-01-01
Andersson Beer,AB Åbro Brewery,Lager,,R5 competitive ELISA,Positive 47ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,47mg/L. ABV 5.2%,2009-01-01
Småland,AB Åbro Brewery,Lager,,R5 competitive ELISA,Positive 41ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,41mg/L. ABV 5.2%,2009-01-01
Guinness Draught,Arthur Guinness Son & Co.,Stout,,R5 competitive ELISA,Positive 48ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,48mg/L. ABV 3.5%,2009-01-01
Guinness Extra Stout,Arthur Guinness Son & Co.,Stout,,R5 competitive ELISA,Positive 62ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,62mg/L. ABV 5.0%,2009-01-01
Zipfer,Brau Union Österreich AG,Lager,,R5 competitive ELISA,Positive 23ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,23mg/L. ABV 2.8%,2009-01-01
Carlsberg Beer,Carlsberg,Lager,,R5 competitive ELISA,Positive 15ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,15mg/L. ABV 2.8%,2009-01-01
Carlsberg Beer,Carlsberg,Lager,,R5 competitive ELISA,Positive 21ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,21mg/L. ABV 3.5%,2009-01-01
Carnegie Porter,Carlsberg,Porter,,R5 competitive ELISA,Positive 20ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,20mg/L. ABV 3.5%,2009-01-01
Saxon Gluten (GF variant),Carlsberg,Lager,,R5 competitive ELISA,Negative at 10ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,ep. ABV 4.1%. Likely a labeled GF product; Swedish translation artifact.,2009-01-01
Corona Extra,Cerveceria Modelo,Lager,,R5 competitive ELISA,Negative at 10ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,ep (not detected) = <10mg/L. ABV 4.6%,2009-01-01
Sol,Cerveceria Cuauhtemoc Moctezuma,Lager,,R5 competitive ELISA,Negative at 10ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,ep (not detected) = <10mg/L. ABV 4.5%,2009-01-01
Erdinger Weissbier,Erdinger Weissbräu,Wheat Beer,,R5 competitive ELISA,Positive 1188ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,1188mg/L. ABV 5.3%. Very high.,2009-01-01
Erdinger Weissbier Dunkel,Erdinger Weissbräu,Dark Wheat Beer,,R5 competitive ELISA,Positive 1224ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,1224mg/L. ABV 5.6%. Very high.,2009-01-01
Eriksberg Christmas Beer,Eriksberg,Lager,,R5 competitive ELISA,Positive 33ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,33mg/L. ABV 5.6%,2009-01-01
Falcon,Falcon Breweries,Lager,,R5 competitive ELISA,Positive 28ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,28mg/L. ABV 2.8%,2009-01-01
Falcon Ale,Falcon Breweries,Ale,,R5 competitive ELISA,Positive 22ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,22mg/L. ABV 3.5%,2009-01-01
Falcon Extra Brew,Falcon Breweries,Lager,,R5 competitive ELISA,Positive 24ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,24mg/L. ABV 3.5%,2009-01-01
Falcon Pilz,Falcon Breweries,Pilsner,,R5 competitive ELISA,Positive 67ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,67mg/L. ABV 3.5%,2009-01-01
Bavarian Falcon,Falcon Breweries,Lager,,R5 competitive ELISA,Positive 55ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,55mg/L. ABV 5.2%,2009-01-01
Falken Beer July,Falken Falkenberg,Lager,,R5 competitive ELISA,Positive 49ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,49mg/L. ABV 3.5%,2009-01-01
Grolsch Premium,Grolsche Bierbrowerij,Lager,,R5 competitive ELISA,Positive 15ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,15mg/L. ABV 3.5%. Above 10ppm threshold.,2009-01-01
The Cheerful Dane,Harboes Brewery,Lager,,R5 competitive ELISA,Positive 25ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,25mg/L. ABV 2.2%,2009-01-01
Dansk Pilsner Premium,Harboes Brewery,Pilsner,,R5 competitive ELISA,Positive 42ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,42mg/L. ABV 2.8%,2009-01-01
Dansk Pilsner Premium,Harboes Brewery,Pilsner,,R5 competitive ELISA,Positive 34ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,34mg/L. ABV 3.5%,2009-01-01
Harboes Christmas Beer,Harboes Brewery,Lager,,R5 competitive ELISA,Positive 31ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,31mg/L. ABV 3.5%,2009-01-01
Bjørne Brewer,Harboes Brewery,Strong Lager,,R5 competitive ELISA,Positive 49ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,49mg/L. ABV 7.3%,2009-01-01
Lapin Kulta,Hartwall PLC,Lager,,R5 competitive ELISA,Negative at 10ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,ep (not detected) = <10mg/L. ABV 3.5%,2009-01-01
Lapin Kulta Premium,Hartwall PLC,Lager,,R5 competitive ELISA,Negative at 10ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,ep (not detected) = <10mg/L. ABV 5.2%,2009-01-01
Heineken Light,Heineken,Light Lager,,R5 competitive ELISA,Positive 45ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,45mg/L. ABV 3.5%,2009-01-01
Hofbräu Oktoberfestbier,Hofbräu,Märzen,,R5 competitive ELISA,Positive 26ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,26mg/L. ABV 6.3%,2009-01-01
Murphys Irish Stout,Inbev UK,Stout,,R5 competitive ELISA,Positive 43ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,43mg/L. ABV 3.5%,2009-01-01
Jämtland Christmas Beer,Jämtland Brewery,Christmas Beer,,R5 competitive ELISA,Negative at 10ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,ep (not detected) = <10mg/L. ABV 6.5%,2009-01-01
Fagerhult Exports III,Kopparberg Brewery,Lager,,R5 competitive ELISA,Positive 93ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,93mg/L. ABV 5.3%,2009-01-01
Zlatopramen,Pivovar Nova Paka,Dark Lager,,R5 competitive ELISA,Positive 47ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,47mg/L. ABV 4.8%,2009-01-01
Kronenbourg 1664,Kronenbourg,Lager,,R5 competitive ELISA,Positive 97ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,97mg/L. ABV 5.0%,2009-01-01
Krönleins Christmas Beer,Krönleins Brewery,Christmas Beer,,R5 competitive ELISA,Positive 33ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,33mg/L. ABV 5.3%,2009-01-01
Löwenbräu Oktoberfestbier,Löwenbräu,Märzen,,R5 competitive ELISA,Positive 21ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,21mg/L. ABV 6.1%,2009-01-01
Mariestads,Mariestad Brewery,Lager,,R5 competitive ELISA,Positive 40ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,40mg/L. ABV 2.8%,2009-01-01
Mariestads,Mariestad Brewery,Lager,,R5 competitive ELISA,Negative at 10ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,ep. ABV 3.5%,2009-01-01
Julebrygd,Mariestad Brewery,Christmas Beer,,R5 competitive ELISA,Positive 60ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,60mg/L. ABV 3.5%,2009-01-01
BrouCzech,Pivovar Nova Paka,Lager,,R5 competitive ELISA,Negative at 10ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,ep. ABV 2.8%,2009-01-01
Staropramen,Pivovary Staropramen,Lager,,R5 competitive ELISA,Positive 21ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,21mg/L. ABV 3.5%,2009-01-01
Pripps Light,Pripps Sweden,Light Lager,,R5 competitive ELISA,Positive 17ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,17mg/L. ABV 2.2%,2009-01-01
Pripps Blue Light,Pripps Sweden,Lager,,R5 competitive ELISA,Positive 32ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,32mg/L. ABV 3.5%,2009-01-01
Pripps Blue Pure,Pripps Sweden,Lager,,R5 competitive ELISA,Positive 28ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,28mg/L. ABV 3.5%,2009-01-01
Pripps Christmas Beer,Pripps (Carlsberg),Christmas Beer,,R5 competitive ELISA,Positive 33ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,33mg/L. ABV 5.0%,2009-01-01
Pripps Blue,Pripps Sweden,Lager,,R5 competitive ELISA,Positive 66ppm,http://liveatthewitchtrials.blogspot.com/2012/12/gluten-levels-of-73-beers.html,66mg/L. ABV 5.2%,2009-01-01
